"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"82",895,25.282813,42.638924,"Светилище/ селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",900,25.295377,42.65735,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"84",903,25.609778,42.605359,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1
"85",905,25.627201,42.590638,"Селищна могила",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",914,25.650812,42.615881,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"87",915,25.638189,42.594943,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"88",916,25.639321,42.663563,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2
"89",937,25.60327,42.644659,"Крепост/ селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",938,25.635906,42.631061,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",950,25.813475,42.588819,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"92",956,25.765771,42.552519,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"93",957,25.791197,42.592395,"Пътна станция?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",958,25.701814,42.557468,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"95",963,25.745308,42.575392,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"96",965,25.727936,42.552082,"Крепост?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",969,25.41459972,42.67271722,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"98",973,25.39355417,42.67142167,"Селище",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"99",980,25.429692,42.668244,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"100",981,25.399282,42.672855,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"101",983,25.411174,42.670614,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"102",990,25.409241,42.682609,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",998,25.678288,42.593629,"Селищна могила",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"104",1033,25.35158722,42.61729446,"Селище?",0,1,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0
"105",1034,25.35643489,42.61568298,"Селище",0,0,0,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0
"106",1037,25.418635,42.600743,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"107",1038,25.42687174,42.60493328,"Селище",0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"108",1039,25.374237,42.614214,"Селищна могила",0,0,0,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0
"109",1044,25.402459,42.605603,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"110",1046,25.378421,42.637423,"Селище",0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
"111",1049,25.397651,42.620991,"Военен лагер/ град",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"112",1050,25.400986,42.623268,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"113",1054,25.405262,42.59353,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"114",1066,25.8367,42.712203,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"115",1067,25.843902,42.691191,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"116",1068,25.82834,42.7003,"Крепост",0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"117",1069,25.826167,42.695396,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"118",1070,25.811248,42.671401,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"119",1071,25.837575,42.668779,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,1
"120",1090,25.83136,42.684761,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"121",1091,25.28295596,42.62240851,"Селище",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"122",1106,25.30897368,42.62346008,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"123",1111,25.34507028,42.63615206,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"124",1143,25.34135002,42.61382193,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"125",1144,25.33097806,42.64112722,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"126",1145,25.32335624,42.6448052,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"127",1150,25.305728,42.616762,"Укрепен град",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"128",1150,25.305728,42.616762,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"129",1152,25.30527,42.616557,"Светилище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"130",1155,25.316184,42.625115,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"131",1167,25.38319688,42.69200683,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
"132",1167,25.38319688,42.69200683,"Крепост?",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"133",1173,25.36503889,42.64378917,"Селище",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"134",1176,25.37282918,42.69647979,"Крепост",0,1,0,0,0,0,0,0,1,0,1,1,1,2,2,1,1,0
"135",1183,25.371248,42.648201,"Селище",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"136",1184,25.37736971,42.69022772,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
"137",1186,25.38821852,42.65258361,"Селище",0,1,1,0,0,0,0,0,2,0,2,2,3,3,4,2,1,1
"138",1188,25.37328567,42.67280926,"Селищна могила",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"139",1190,25.36542798,42.66840289,"Селище",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",1193,25.36837092,42.66843446,"Светилище",0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"141",1196,25.392865,42.668056,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"142",1198,25.369932,42.661679,"Селище",0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
"143",1200,25.352842,42.649225,"Селище",0,0,1,0,0,0,0,0,2,0,2,2,2,1,1,0,1,0
"144",1201,25.355203,42.648703,"Светилище",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",1204,25.381403,42.666535,"Стопанство/ селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"146",1205,25.403135,42.645205,"Стопанство/ селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"147",1207,25.370615,42.701137,"Селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",1208,25.371551,42.69429,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"149",1210,25.447681,42.517673,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"150",1210,25.447681,42.517673,"Крепост?",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"151",1214,25.450818,42.540438,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"152",1216,25.428261,42.539621,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"153",1223,25.673625,42.733523,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",1224,25.662555,42.732253,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",1225,25.669296,42.733326,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",1226,25.670049,42.737658,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",1229,25.036666,42.624725,"Крепост",0,1,0,0,0,0,0,0,3,0,3,3,1,1,1,0,1,0
"158",1233,25.04151,42.62046,"Селище",0,1,0,0,0,0,0,0,3,0,3,3,1,1,1,0,1,0
"159",1234,25.065903,42.627628,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"160",1235,25.037748,42.681454,"Крепост",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"161",1263,25.493488,42.594523,"Селищна могила",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"162",1267,25.553925,42.630767,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
"163",1267,25.553925,42.630767,"Крепост?",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"164",1269,25.582952,42.619589,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
"165",1270,25.54839,42.608398,"Крепост?",0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"166",1270,25.54839,42.608398,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"167",1281,25.542349,42.623796,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"168",1289,25.520831,42.619787,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"169",1292,25.584091,42.596875,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",1293,25.582328,42.612239,"Селище",0,1,1,0,0,0,0,0,2,0,2,2,3,2,2,0,0,0
"171",1305,25.794166,42.638334,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
"172",1307,25.788613,42.641282,"Единична постройка",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
